,,,,,
,Catalogue Fields,,,,Comments
,Systems,,,,
,No,Number,Units,,"* Values in ""-1"" are presently unknown, very uncertain or not found in literature yet"
,Type,"Type: D, Discovered Planets; P: Potential target; V: Virtual Object",String,,"* Values in ""-2"" are not applicable, eg. Vmag for a ""virtual"" system, Mp for a system without planets"
,BHMCatS,ID in Catalogue,String,,"* Empty strings are replaced by a ""-"""
,SourceCat,Source Catalogue,String,,
,SourceID,ID in Source Catalogue,String,,
,SysID,SystemID,String,,
,RA,RA,HH MM SS,,
,DEC,DEC,DD AM AS,,
,Pbin,Binary Period,days,,
,abin,Binary Semimajor axis,AU,,
,ebin,Binary Eccentricity,N/A,,
,wbin,Periastron argument,deg,,
,Zfit,Metal fraction (fitted from isochrones),N/A,,
,FeHfit,Metallicity (fitted from isochrones),dex,,
,FeHfiterr,Error in Metallicity (fitted from isochrones),dex,,
,Zobs,Metal fraction (observed),N/A,,
,FeHobs,Metallicity (observed),dex,,
,ibin,Binary Inclination,DEG,,
,taumin,Minimum Age,GYR,,
,taumax,Maximum Age,GYR,,
,vsini1,v sin i (1),km/s,,
,vsin1err,Error,km/s,,
,vsini2,v sin i (2),km/s,,
,vsini2err,Error,km/s,,
,Prot1,Observed rotational period (1),days,,
,Prot1err,Error,days,,
,Prot2,Observed rotational period (2),days,,
,Prot2err,Error,days,,
,Protv1,Rotational period of 1 from velocity,days,,
,Protv1err,Error,days,,
,Protv2,Rotational period of 1 from velocity,days,,
,Protv2err,Error,days,,
,V,V mag,mag,,
,BV,B-V,mag,,
,d,Distance from parallax,pc,,
,derr,Error,pc,,
,dmod,"Distance from module, M-m",pc,,
,M1,Mass (1),Msun,,
,M1err,Error,Msun,,
,M2,Mass (2),Msun,,
,M2err,Error,Msun,,
,q,Binary q: M2/M1,N/A,,
,R1,Stellar Radius (1),Rsun,,
,R1err,Error,Rsun,,
,R2,Stellar Radius (2),Rsun,,
,R2err,Error,Rsun,,
,T1,Effective Temperature (1),K,,
,T1err,Error,K,,
,T2,Effective Temperature (2),K,,
,T2err,Error,K,,
,logg1,Logarithmic surface gravity (1),dex,,
,logg1err,Error,dex,,
,logg2,Logarithmic surface gravity (2),dex,,
,logg2err,Error,dex,,
,Lx,X-Ray Luminosity,Lsun,,
,S-type1,Spectral type (1),String,,
,S-type2,Spectral type (2),String,,
,BHMCatPs,"Known planets in the system.  Here the catalogue name of the planets (see BHMCat-Planets table) should be placed separated by "";""",String,,
,SystemADS,"All ADS entries.  Separated by "";"".  If empty ""-""",String,,
,,,,,
,Planets,,,,
,Mp,Planet Mass (if less than 1 in Jupiter units),"Mearth, Mjup",,
,Mperr,Error,"Mearth, Mjup",,
,Rp,Planet Radius  (if less than 1 in Jupiter units),"Rearth, Rjup",,
,Rperr,Error,"Rearth, Rjup",,
,aorb,Planet semimajor axis,AU,,
,aorberr,Error,AU,,
,Porb,Planet orbital period,days,,
,Porberr,Error,days,,
,Morb,Combined mass of binary ,Msun,,
,eorb,Planet eccentricity,N/A,,
,eorberr,Error,N/A,,
,worb,Planet periastron argument,DEG,,
,worberr,Error,DEG,,
,PlanetsADS,"All ADS entries.  Separated by "";"".  If empty ""-""",String,,
