SourceCat,SourceID,SysID,RA,DEC,binary_Pbin,binary_abin,binary_ebin,binary_wbin,binary_Zfit,binary_FeHfit,binary_FeHfiterr,binary_Zobs,binary_FeHobs,binary_ibin,binary_taumin,binary_taumax,star1_vsini,star1_vsinierr,star2_vsini,star2_vsinierr,star1_Protv,star1_Protverr,star2_Protv,star2_Protverr,star1_Prot,star1_Proterr,star2_Prot,star2_Proterr,binary_V,binary_BV,binary_d,binary_derr,binary_dmod,star1_M,star1_Merr,star2_M,star2_Merr,binary_q,star1_R,star1_Rerr,star2_R,star2_Rerr,star1_T,star1_Terr,star2_T,star2_Terr,star1_logg,star1_loggerr,star2_logg,star2_loggerr,binary_Lx,star1_Stype,star2_Stype,Planets,binary_ADS
str,str,str,dms,dms,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,str,str,str,str
Source Cat.,Source Id.,System Id.,RA,DEC,P_bin,a_bin,e_bin,\omega_bin,Z_fit,[Fe/H]_fit,"[Fe/H]_fit,err",Z_obs,[Fe/H]_obs,i_bin,\tau_min,\tau_max,"v_1 sin i,1","v_1 sin i_1,err",v_2 sin i_2,"v_2 sin i_2,err","P_rot,v,1","P_rot,v,1,err","P_rot,v,2","P_rot,v,2,err","P_rot,1","P_rot,1,err","P_rot,2","P_rot,2,err",V,B-V,d,"d,err",d_mod,M_1,"M_1,err",M_2,"M_2,err",q,R_1,"R_1,err",R_2,"R_2,err",T_1,"T_1,err",T_2,"T_2,err",log g_1,"log g_2,err",log g_2 ,"log g_2,err",L_x,Sp. Type 1,Sp. Type 2,Planets,ADS Link
3,3,1,3,3,1,1,1,4,2,2,4,2,2,2,3,3,4,4,4,4,3,4,3,4,2,4,2,4,2,2,2,4,2,1,4,1,4,100,3,4,3,4,3,4,3,4,3,4,3,4,3,2,2,1,1
DEBCat,25,V2080 Cyg,19 26 48.00, +50 08 44.00 ,"4,934","0,0754",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"7,4","0,421",-1,-1,-1,"1,191","0,017","1,157","0,017","0,971452560873216","1,596","0,008","1,599","0,008",5997,-1,5984,-1,-1,-1,-1,-1,-1,F4V,F4V,-,-
DEBCat,24,V636 Cen,14 16 57.91,-49 56 42.40,"4,284",-1,"0,135",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"8,7","0,62",-1,-1,-1,"1,052","0,005","0,854","0,003","0,811787072243346","1,018","0,004","0,83","0,004",5902,-1,5000,-1,-1,-1,-1,-1,-1,G2V,K2V,-,-
DEBCat,23,V432 Aur,05 37 32.44,+37 05 12.40,"3,082","0,0547",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"8,15","0,7",-1,-1,-1,"1,2","0,014","1,08","0,018","0,9","1,23","0,006","2,46","0,02",6683,-1,6081,-1,-1,-1,-1,-1,-1,late F,late F,-,-
DEBCat,22,CU Cnc,08 31 37.58,+19 23 39.50,"2,771",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"11,89","1,4",-1,-1,-1,"0,433","0,002","0,398","0,001","0,919168591224019","0,432","0,005","0,391","0,009",3162,-1,3126,-1,-1,-1,-1,-1,-1,M3.5Ve,M3.5Ve,-,-
DEBCat,21,V1174 Ori,05 34 27.85,-05 41 37.80,"2,635","0,0449",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"13,95","1,24",-1,-1,-1,"1,009","0,015","0,731","0,008","0,724479682854311","1,339","0,015","1,065","0,011",4466,-1,3614,-1,-1,-1,-1,-1,-1,K4.5V,M1.5V,-,-
DEBCat,20,V1236 Tau,05 16 28.81,+26 07 38.78,"2,588","0,0428",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"18,1","1,37",-1,-1,-1,"0,787","0,012","0,77","0,009","0,978398983481576","0,788","0,015","0,817","0,01",4197,-1,4149,-1,-1,-1,-1,-1,-1,K7V,K7V,-,-
DEBCat,19,ZZ UMa,10 30 03.19,+61 48 41.42,"2,299",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"10,39","0,54",-1,-1,-1,"1,142","0,007","0,972","0,007","0,851138353765324","1,52","0,02","1,16","0,01",5956,-1,5272,-1,-1,-1,-1,-1,-1,F8V,G6V,-,-
