SourceCat,SourceID,binary_str_SysID,RA,DEC,binary_Pbin,binary_abin,binary_ebin,binary_wbin,binary_Zfit,binary_FeHfit,binary_FeHfiterr,binary_Zobs,binary_FeHobs,binary_ibin,binary_taumin,binary_taumax,star1_vsini,star1_vsinierr,star2_vsini,star2_vsinierr,star1_Protv,star1_Protverr,star2_Protv,star2_Protverr,star1_Prot,star1_Proterr,star2_Prot,star2_Proterr,binary_V,binary_BV,binary_d,binary_derr,binary_dmod,star1_M,star1_Merr,star2_M,star2_Merr,binary_q,star1_R,star1_Rerr,star2_R,star2_Rerr,star1_T,star1_Terr,star2_T,star2_Terr,star1_logg,star1_loggerr,star2_logg,star2_loggerr,binary_Lx,star1_str_Stype,star2_str_Stype,Planets,binary_ADS
str,str,str,dms,dms,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,str,str,str,str
Source Cat.,Source Id.,System Id.,RA,DEC,P_bin,a_bin,e_bin,\omega_bin,Z_fit,[Fe/H]_fit,"[Fe/H]_fit,err",Z_obs,[Fe/H]_obs,i_bin,\tau_min,\tau_max,"v_1 sin i,1","v_1 sin i_1,err",v_2 sin i_2,"v_2 sin i_2,err","P_rot,v,1","P_rot,v,1,err","P_rot,v,2","P_rot,v,2,err","P_rot,1","P_rot,1,err","P_rot,2","P_rot,2,err",V,B-V,d,"d,err",d_mod,M_1,"M_1,err",M_2,"M_2,err",q,R_1,"R_1,err",R_2,"R_2,err",T_1,"T_1,err",T_2,"T_2,err",log g_1,"log g_2,err",log g_2 ,"log g_2,err",L_x,Sp. Type 1,Sp. Type 2,Planets,ADS Link
3,3,1,3,3,1,1,1,4,2,2,4,2,2,2,3,3,3,4,3,4,3,4,3,4,2,4,2,4,2,2,2,4,2,1,4,1,4,100,3,4,3,4,3,4,3,4,3,4,3,4,3,2,2,1,1
EkCat,197,WTS 19c-3-01405,-1,-1,"4,9390945","0,0524583846256684",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"4,08","0,19","4,01","0,2",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"0,41","0,023","0,376","0,024","0,917073170731707","0,398","0,019","0,393","0,019",-1,-1,-1,-1,-1,-1,-1,-1,-1,-,-,-,2012MNRAS.426.1507B;
EkCat,191,V2080 Cyg,-1,-1,"4,93359","0,0754060187165775",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"1,191","0,017","1,157","0,017","0,971452560873216","1,596","0,008","1,599","0,008",-1,-1,-1,-1,-1,-1,-1,-1,-1,-,-,-,2008MNRAS.384..331I;
EkCat,125,DM Vir,-1,-1,"4,6694335","0,0780126465240642",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"1,454","0,008","1,448","0,008","0,995873452544704","1,763","0,017","1,763","0,017",-1,-1,-1,-1,-1,-1,-1,-1,-1,-,-,-,1996A&A...314..864L ;
EkCat,126,V636 Cen,-1,-1,"4,2839423","0,0636761935828877",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,"0,2","11,1","0,5",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"1,052","0,005","0,854","0,003","0,811787072243346","1,018","0,004","0,83","0,004",-1,-1,-1,-1,-1,-1,-1,-1,-1,-,-,-,2009A&A...502..253C;
EkCat,19,V505 Per,-1,-1,"4,22201998","0,0696342",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"15,4",1,"15,3",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"1,269","0,001","1,251","0,001","0,98581560283688","1,287","0,014","1,266","0,014",-1,-1,-1,-1,-1,-1,-1,-1,-1,-,-,-,2008A&A...480..465T;
EkCat,149,WZ Oph,-1,-1,"4,18350681","0,0685170737967915",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,1,17,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"1,227","0,007","1,22","0,006","0,994295028524857","1,401","0,012","1,419","0,012",-1,-1,-1,-1,-1,-1,-1,-1,-1,-,-,-,2008A&A...487.1095C;
EkCat,52,UX Men,-1,-1,"4,1811","0,0683308860962567",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"16,4","0,3","15,1","0,3",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"1,238","0,006","1,198","0,007","0,967689822294023","1,348","0,013","1,274","0,013",-1,-1,-1,-1,-1,-1,-1,-1,-1,-,-,-,1989A&A...211..346A;
