BHMCatS,SysID,star1_tau,star1_taums,star1_Z,star1_FeH,star2_tau,star2_taums,star2_Z,star2_FeH,planet_fHHe,planet_CMF,planet_tau,planet_Prot,hz_str_incrit_wd,hz_str_outcrit_wd,hz_str_incrit_nr,hz_str_outcrit_nr,rotation_k,interaction_tauini,interaction_tauref,interaction_str_earlywind,interaction_nM,interaction_nP,interaction_str_refobj,interaction_Mmin,interaction_Mmax,interaction_alpha,interaction_muatm
str,str,float,float,float,float,float,float,float,float,float,float,float,float,str,str,str,str,float,float,float,str,float,float,str,float,float,float,float
Cat.Id.,System Id.,Star1 Age,Star1 Main Seq.,Z_1,[Fe/H]_1,Star2 Age,Star2 Main Seq.,Z_2,[Fe/H]_2,"f_H,He",CMF,\tau,P_rot,Wide HZ In.Edge,Wide HZ Out.Edge,Narrow HZ In.Edge,Narrow HZ Out.Edge,k_rot,\tau_ini,\tau_ref,Early Wind,n_M,n_P,Ref. Obj.,M_min,M_max,\alpha,\mu_atm
1,1,1,1,0,0,1,1,0,0,"0,8","0,3",1,1,'recent venus','early mars','runaway greenhouse','maximum greenhouse',1,"0,1",2,'trend',3,6,'Earth',"0,01",10,"0,3",44
BHMCatS0001D,Kepler-16 ,3,1,0,"-0,3",3,1,0,"-0,3","0,8","0,3",3,1,'recent venus','early mars','runaway greenhouse','maximum greenhouse',1,"0,1",2,'trend',3,6,'Earth',"0,01",10,"0,3",44
BHMCatS0002D,Kepler-34,"2,45",1,0,"-0,263","2,45",1,0,"-0,263","0,8","0,3","2,45",1,'recent venus','early mars','runaway greenhouse','maximum greenhouse',1,"0,1",2,'trend',3,6,'Earth',"0,01",10,"0,3",44
BHMCatS0003D,Kepler-35,10,1,0,"-0,603",10,1,0,"-0,603","0,8","0,3",10,1,'recent venus','early mars','runaway greenhouse','maximum greenhouse',1,"0,1",2,'trend',3,6,'Earth',"0,01",10,"0,3",44
BHMCatS0004D,Kepler-38,10,1,0,"-0,11",10,1,0,"-0,11","0,8","0,3",10,1,'recent venus','early mars','runaway greenhouse','maximum greenhouse',1,"0,1",2,'trend',3,6,'Earth',"0,01",10,"0,3",44
BHMCatS0005D,Kepler-47,1,1,0,"-0,25",1,1,0,"-0,25","0,8","0,3",1,1,'recent venus','early mars','runaway greenhouse','maximum greenhouse',1,"0,1",2,'trend',3,6,'Earth',"0,01",10,"0,3",44
BHMCatS0006D,Kepler-64,"1,5",1,0,"-0,15","1,5",1,0,"-0,15","0,8","0,3","1,5",1,'recent venus','early mars','runaway greenhouse','maximum greenhouse',1,"0,1",2,'trend',3,6,'Earth',"0,01",10,"0,3",44
BHMCatS0007D,Kepler-413,1,1,0,"-0,2",1,1,0,"-0,2","0,8","0,3",1,1,'recent venus','early mars','runaway greenhouse','maximum greenhouse',1,"0,1",2,'trend',3,6,'Earth',"0,01",10,"0,3",44
