BHMCatP,PlanetID,planet_fHHe,planet_CMF,planet_tau,planet_Prot,planet_R,planet_M,planet_Extra1,planet_Extra2,planet_Extra3,planet_Extra4,planet_Extra5,planet_str_Extra1,planet_str_Extra2,interaction_tauini,interaction_tauref,interaction_nM,interaction_nP,interaction_str_refobj,interaction_Mmin,interaction_Mmax,interaction_alpha,interaction_muatm,interaction_Extra1,interaction_Extra2,interaction_Extra3,interaction_Extra4,interaction_Extra5,interaction_str_Extra1,interaction_str_Extra2
str,str,float,float,float,float,float,float,float,float,float,float,float,str,str,float,float,float,float,str,float,float,float,float,float,float,float,float,float,str,str
Cat.Id.,System Id.,"f_H,He",CMF,\tau,P_rot,R_p,M_p,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra String 1,Extra String 2,\tau_ini,\tau_ref,n_M,n_P,Ref. Obj.,M_min,M_max,\alpha,\mu_atm,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra String 1,Extra String 2
1,1,"0,8","0,3",1,1,0,0,0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPD0001,Kepler-16b,"0,5395","0,3",3,1,"8,45874581698321","105,885100967818",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPD0002,Kepler-34b,"0,5972","0,3","2,45",1,"8,5732048344059","69,9541207595191",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPD0003,Kepler-35b,"0,5966","0,3",10,1,"8,16923183173756","40,3826060748133",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPD0004,Kepler-38b,"0,8","0,3",10,1,"4,37637419557369","120,82984494826",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPD0005,Kepler-47b,"0,8","0,3",3,1,"3,02979752001256","7,63135862831118",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPD0006,Kepler-47c,"0,1304","0,3",3,1,"4,60080364150055","28,6175948561669",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPD0007,Kepler-64b,"0,8","0,3","1,5",1,"6,20547417987757","168,525836375205",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPD0008,Kepler-413b,"0,07516","0,3",1,1,"4,35168695652174","67,0287666186665",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPD0009,KIC-9632895b,"0,3347","0,3",2,1,"6,165","26,0738086467299",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0010,KX Cnch,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0011,V54 M55h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0012,V66 M4h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0013,EW Orih,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0014,V785 Ceph,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0015,M4-V69h,"0,3","0,3","10,9",1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0016,LSPM J1112+7626h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0017,V69-47 Tuc h,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0018,AI Pheh,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
BHMCatPP0019,LL Aqrh,"0,3","0,3",1,1,"1,000001","1,000001",0,0,0,0,0,Null,Null,"0,01",2,3,"4,5",'Saturn',"0,01",10,"0,3",44,0,0,0,0,0,'Null','Null'
