Nop,Nopstr,Type,BHMCatP,BHMCatS,SysID,planet_str_PlanetID,planet_M,planet_Merr,planet_R,planet_Rerr,planet_Morb,planet_aorb,planet_aorberr,planet_Porb,planet_Porberr,planet_eorb,planet_eorberr,planet_worb,planet_worberr,planet_ADS
str,str,str,str,str,str,str,float,float,float,float,float,float,float,float,float,float,float,float,float,str
No.,No.,Type,Plan.Cat.Id.,Sys.Cat.Id.,System Id.,Planet Id.,M_p,"M_p,err",R_p,"R_p,err",M_orb,a_orb,"a_orb,err",P_orb,"P_orb,err",e_orb,"e_orb,err",\omega_orb,"\omega_orb,err",ADS Link
100,1,100,1,1,2,1,1,4,1,4,100,1,4,1,4,1,4,2,4,1
1,0001,b,BHMCatPD0001,BHMCatS001D,Kepler-16,Kepler-16b,"0,333","0,016","0,7538","0,00245","0,893","0,7048","0,0011","228,776","0,028","0,0069","0,001",-1,0,2012Natur.481..475W;2012yCatp038048101W
2,0002,b,BHMCatPD0002,BHMCatS002D,Kepler-34,Kepler-34b,"0,22","0,01","0,764","0,013","2,069","1,0896","0,0009","288,822","0,072","0,182","0,018",-1,0,2012Natur.481..475W;2012yCatp038048101W
3,0003,b,BHMCatPD0003,BHMCatS003D,Kepler-35,Kepler-35b,"0,127","0,02","0,728","0,014","1,697","0,60347","0,00102","131,458","0,085","0,042","0,005",-1,0,2012ApJ...758...87O
4,0004,b,BHMCatPD0004,BHMCatS004D,Kepler-38,Kepler-38b,"0,38",0,"0,39","0,01","1,198","0,4644","0,0082","105,595","0,038","0,032",-1,-1,0,2012Sci...337.1511O
5,0005,b,BHMCatPD0005,BHMCatS005D,Kepler-47,Kepler-47b,"0,024",0,"0,27","0,011","1,405","0,2956","0,0047","49,514","0,04","0,035",-1,-1,0,2013ApJ...768..127S;2013ApJ...770...52K
6,0006,c,BHMCatPD0006,BHMCatS005D,Kepler-47,Kepler-47c,"0,09",0,"0,41","0,018","1,405","0,989","0,016","303,158","0,072","0,09",-1,-1,0,2014ApJ...784...14K
7,0007,b,BHMCatPD0007,BHMCatS006D,Kepler-64,Kepler-64b,"0,53","0,26","0,553","0,015","1,906","0,634","0,011","138,506","0,1","0,0539","0,0081",-1,0,2013ApJ...768..127S;2013ApJ...770...52K
8,0008,b,BHMCatPD0008,BHMCatS007D,Kepler-413,Kepler-413b,"0,2108","0,066","0,3878","0,0088","1,362","0,3553",-1,"66,262",-1,"0,1181","0,002",-1,0,2014ApJ...784...14K
9,0009,b,BHMCatPD0009,BHMCatS008D,KIC-9632895,KIC-9632895b,"0,082",-1,"6,165","0,035","1,1278","0,7877","0,0028","240,503","0,053","0,0379","0,0088","-178,59",0,2014arXiv1409.1605W
10,0010,h,BHMCatPP0010,BHMCatS0009P,KX Cnc,KX Cnch,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
11,0011,h,BHMCatPP0011,BHMCatS0010P,V54 M55,V54 M55h,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
12,0012,h,BHMCatPP0012,BHMCatS0011P,V66 M4,V66 M4h,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
13,0013,h,BHMCatPP0013,BHMCatS0012P,EW Ori,EW Orih,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
14,0014,h,BHMCatPP0014,BHMCatS0013P,V785 Cep,V785 Ceph,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
15,0015,h,BHMCatPP0015,BHMCatS0014P,M4-V69,M4-V69h,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
16,0016,h,BHMCatPP0016,BHMCatS0015P,LSPM J1112+7626,LSPM J1112+7626h,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
17,0017,h,BHMCatPP0017,BHMCatS0016P,V69-47 Tuc ,V69-47 Tuc h,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
18,0018,h,BHMCatPP0018,BHMCatS0017P,AI Phe,AI Pheh,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
19,0019,h,BHMCatPP0019,BHMCatS0018P,LL Aqr,LL Aqrh,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
20,0020,h,BHMCatPP0020,BHMCatS0019P,V565 Lyr,V565 Lyrh,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
21,0021,h,BHMCatPP0021,BHMCatS0020P,LV Her,LV Herh,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
22,0022,h,BHMCatPP0022,BHMCatS0021P,KIC 6131659,KIC 6131659h,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
23,0023,h,BHMCatPP0023,BHMCatS0022P,V568 Lyr ,V568 Lyr h,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
24,0024,h,BHMCatPP0024,BHMCatS0023P,TYC 176-2950-1,TYC 176-2950-1h,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
25,0025,h,BHMCatPP0025,BHMCatS0024P,BF Dra,BF Drah,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
26,0026,h,BHMCatPP0026,BHMCatS0025P,HP Dra,HP Drah,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
27,0027,h,BHMCatPP0027,BHMCatS0026P,RW Lac,RW Lach,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
28,0028,h,BHMCatPP0028,BHMCatS0027P,HS Aur,HS Aurh,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
29,0029,h,BHMCatPP0029,BHMCatS0028P,TV Cet,TV Ceth,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
30,0030,h,BHMCatPP0030,BHMCatS0029P,ASAS J162637-5042.8 ,ASAS J162637-5042.8 h,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
31,0031,h,BHMCatPP0031,BHMCatS0030P,2MASS J19071662+4639532 ,2MASS J19071662+4639532 h,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
32,0032,h,BHMCatPP0032,BHMCatS0031P,M4-V66,M4-V66h,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
33,0033,h,BHMCatPP0033,BHMCatS0032P,CD-80 28,CD-80 28h,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
34,0034,h,BHMCatPP0034,BHMCatS0033P,V1143 Cyg,V1143 Cygh,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
35,0035,h,BHMCatPP0035,BHMCatS0034P,ASAS J085524-4411.3 ,ASAS J085524-4411.3 h,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
36,0036,h,BHMCatPP0036,BHMCatS0035P,EW Ori,EW Orih,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
37,0037,h,BHMCatPP0037,BHMCatS0036P,FM Leo,FM Leoh,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
38,0038,h,BHMCatPP0038,BHMCatS0037P,BW Aqr,BW Aqrh,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
39,0039,h,BHMCatPP0039,BHMCatS0038P,NGC188 KR V12,NGC188 KR V12h,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
40,0040,h,BHMCatPP0040,BHMCatS0039P,BD-02 873,BD-02 873h,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
1001,1001,h,BHMCatPV1001,BHMCatS1001V,NICHE-001,NICHE-001h,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
1002,1002,h,BHMCatPV1002,BHMCatS1002V,NICHE-002,NICHE-002h,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
1003,1003,h,BHMCatPV1003,BHMCatS1003V,NICHE-003,NICHE-003h,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
1004,1004,h,BHMCatPV1004,BHMCatS1004V,NICHE-004,NICHE-004h,"1,000001",0,"1,000001",0,1,1,0,0,0,0,0,0,0,;
