No,Nostr,Type,BHMCatS,SourceCat,SourceID,binary_str_SysID,star1_str_StarID,star1_M,star1_Merr,star1_R,star1_Rerr,star1_T,star1_Terr,star1_logg,star1_loggerr,star1_vsini,star1_vsinierr,star1_Protv,star1_Protverr,star1_Prot,star1_Proterr,star1_str_Stype,star2_str_StarID,star2_M,star2_Merr,star2_R,star2_Rerr,star2_T,star2_Terr,star2_logg,star2_loggerr,star2_vsini,star2_vsinierr,star2_Protv,star2_Protverr,star2_Prot,star2_Proterr,star2_str_Stype,binary_q,binary_Pbin,binary_abin,binary_ebin,binary_wbin,binary_Zfit,binary_FeHfit,binary_FeHfiterr,binary_Zobs,binary_FeHobs,binary_ibin,binary_taumin,binary_taumax,binary_V,binary_BV,binary_d,binary_derr,binary_dmod,binary_Lx,RA,DEC,Planets,Notes,binary_ADS
int,str,str,str,str,str,str,str,float,float,float,float,float,float,float,float,float,float,float,float,float,float,str,str,float,float,float,float,float,float,float,float,float,float,float,float,float,float,str,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,dms,dms,str,str,str
No.,No.,Type,Cat.Id.,Source Cat.,Source Id.,System Id.,Star 1 Id.,M_1,"M_1,err",R_1,"R_1,err",T_1,"T_1,err",log g_1,"log g_2,err","v_1 sin i,1","v_1 sin i_1,err","P_rot,v,1","P_rot,v,1,err","P_rot,1","P_rot,1,err",Sp. Type 1,Star 2 Id.,M_2,"M_2,err",R_2,"R_2,err",T_2,"T_2,err",log g_2 ,"log g_2,err",v_2 sin i_2,"v_2 sin i_2,err","P_rot,v,2","P_rot,v,2,err","P_rot,2","P_rot,2,err",Sp. Type 2,q,P_bin,a_bin,e_bin,\omega_bin,Z_fit,[Fe/H]_fit,"[Fe/H]_fit,err",Z_obs,[Fe/H]_obs,i_bin,\tau_min,\tau_max,V,B-V,d,"d,err",d_mod,L_x,RA,DEC,Planets,Notes,ADS Link
100,1,100,1,3,3,1,1,1,4,3,4,3,4,3,4,3,4,3,4,2,4,2,1,1,4,3,4,3,4,3,4,3,4,3,4,2,4,2,100,1,1,1,4,2,2,4,2,2,2,3,3,2,2,2,4,2,3,3,3,1,100,1
1,0001,D,BHMCatS0001D,KIC,12644769,Kepler-16,Kepler-16 A,"0,69","0,004","0,649","0,001",4337,80,"4,479","0,0017","0,92","0,025",-1,-1,"35,1",1,K type,Kepler-16 B,"0,203","0,001","0,226","0,001",-1,-1,"5,0358","0,0016",-1,-1,-1,-1,-1,-1,M type,"0,294202898550725","41,079","0,2243","0,1594","263,464",-1,"-0,3","0,2",-1,"-0,2","90,3401",2,4,"11,762","0,012",-1,-1,-1,-1,19 16 18.17,+51 45 26.78,BHMCatPD0001;,,2011Sci...333.1602D; 2011ApJ...741L...1W; 
2,0002,D,BHMCatS0002D,KIC,8572936,Kepler-34,Kepler-34 A,"1,048","0,003","1,162","0,003",5913,130,"4,442",-1,"3,5","0,5",-1,-1,"16,5","1,5",G0V,Kepler-34 B,"1,021","0,002","1,093","0,003",5867,130,-1,-1,-1,-1,-1,-1,-1,-1,G0V,"0,974236641221374","27,796","0,2288","0,5209","71,436",-1,"-0,263",-1,-1,"-0,263","89,8584",2,"2,9","14,875","0,148",-1,-1,-1,-1,19 45 44.597,+44 38 29.62,BHMCatPD0002;,,2012Natur.481..475W; 2012yCatp038048101W;
3,0003,D,BHMCatS0003D,KIC,9837578,Kepler-35,Kepler-35 A,"0,888","0,005","1,028","0,002",5606,150,"4,756",-1,-1,-1,-1,-1,"20,8","0,1",G type,Kepler-35 B,"0,809","0,004","0,786","0,002",5202,100,-1,-1,-1,-1,-1,-1,-1,-1,G type,"0,911036036036036","20,734","0,1762","0,1421","86,276",-1,"-0,603",-1,-1,"-0,603","90,4238",8,12,"15,726","0,123",-1,-1,-1,-1,19 37 59.275,+46 41 23.14,BHMCatPD0003;,,2012Natur.481..475W; 2012yCatp038048101W;
4,0004,D,BHMCatS0004D,KIC,6762829,Kepler-38,Kepler-38 A,"0,949","0,055","1,757","0,003",5623,50,"4,47","0,011","2,4","0,5",-1,-1,-1,-1,G type,Kepler-38 B,"0,249","0,007","0,272","0,005",3325,-1,"4,964",-1,-1,-1,-1,-1,-1,-1,M type,"0,262381454162276","18,795","0,1469","0,1032","268,68",-1,"-0,11",-1,-1,"-0,158","89,412",7,13,"13,941","0,096",-1,-1,-1,-1,19 07 19.29,+42 16 45.14,BHMCatPD0004;,,2012ApJ...758...87O;
5,0005,D,BHMCatS0005D,KIC,10020423,Kepler-47,Kepler-47 A,"1,043","0,055","0,964","0,017",5636,100,"4,588","0,05","4,1","0,5",-1,-1,"7,775","0,022",-,Kepler-47 B,"0,362","0,013","0,35","0,006",3357,100,-1,-1,-1,-1,-1,-1,-1,-1,-,"0,347075743048897","7,448","0,0836","0,0234","212,3",-1,"-0,25",-1,-1,"-0,252","89,69",1,5,"15,178","0,126",-1,-1,-1,-1,19 41 11.50,+46 55 13.68,BHMCatPD0005;BHMCatPD0006;,,2012Sci...337.1511O;
6,0006,D,BHMCatS0006D,KIC,4862625,Kepler-64,Kepler-64 A,"1,528","0,087","1,734","0,044",6407,150,"4,658",-1,"32,6",2,-1,-1,-1,-1,F type,Kepler-64 B,"0,378","0,023","0,408","0,024",3561,150,-1,-1,-1,-1,-1,-1,-1,-1,M type,"0,24738219895288",20,"0,1744","0,2117","218,56",-1,"-0,15",-1,-1,"-0,217","87,36",1,2,"13,718","0,107",-1,-1,-1,-1,19 52 51.624,"+39 57 18,36",BHMCatPD0007;,,2013ApJ...768..127S; 2013ApJ...770...52K;
7,0007,D,BHMCatS0007D,KIC,12351927,Kepler-413,Kepler-413 A,"0,82","0,015","0,776","0,008",4700,-1,"4,727",-1,5,2,-1,-1,"13,15","0,15",K type,Kepler-413 B,"0,542","0,008","0,484","0,02",3460,-1,-1,-1,-1,-1,-1,-1,-1,-1,M type,"0,660975609756098","10,116","0,1015","0,0372","279,54",-1,"-0,2",-1,-1,"-1,431","87,33",-1,-1,"15,52","0,073",-1,-1,-1,-1,19 14 02.55,+51 09 44.89,BHMCatPD0008;,,2014ApJ...784...14K;
8,0008,D,BHMCatS0008D,KIC,9632895,KIC-9632895,KIC-9632895 A,"0,934","0,01","0,833","0,011",5527,100,"4,803","0,015","1,9",1,-1,-1,"20,31","0,47",-,KIC-9632895 B,"0,1938","0,002","0,2143","0,0014",3309,100,"5,063","0,005",-1,-1,-1,-1,-1,-1,-,"0,207494646680942","27,322037","0,18749","0,05099","262,86",-1,"-0,34",-1,-1,"-0,343","90,275","1,5","2,5","13,552","0,055",-1,-1,-1,-1,18 52 57.912,+46 22 42.49,BHMCatPD0009;,,2014arXiv1409.1605W;
