Nop;Nopstr;BHMCatP;Type;BHMCat;SysID;PlanetID;Mp;Mperr;Rp;Rperr;aorb;aorberr;Porb;Porberr;eorb;eorberr;worb;worberr;PlanetADS
0000;0000;BHMCatP0000;a;Null;Null;Earth;1;0;1;0;1;0;1;0;0;0;0;0;-
0001;0001;BHMCatP0001;b;BHMCat0001D;Kepler-16;Kepler-16b;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-
0002;0002;BHMCatP0002;b;BHMCat0002D;Kepler-34;Kepler-34b;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-
0003;0003;BHMCatP0003;b;BHMCat0003D;Kepler-35;Kepler-35b;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-
0004;0004;BHMCatP0004;b;BHMCat0004D;Kepler-38;Kepler-38b;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-
0005;0005;BHMCatP0005;b;BHMCat0005D;Kepler-47;Kepler-47b;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-
0006;0006;BHMCatP0006;b;BHMCat0006D;Kepler-413;Kepler-413b;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-
0007;0007;BHMCatP0007;b;BHMCat0007V;NICHE-001;NICHE-001b;1;0;1;0;1;0;0;0;0;0;0;0;-
0008;0008;BHMCatP0008;b;BHMCat0008V;NICHE-002;NICHE-002b;1;0;1;0;1;0;0;0;0;0;0;0;-
0009;0009;BHMCatP0009;b;BHMCat0009V;NICHE-003;NICHE-003b;1;0;1;0;1;0;0;0;0;0;0;0;-
0010;0010;BHMCatP0010;b;BHMCat0010V;NICHE-004;NICHE-004b;1;0;1;0;1;0;0;0;0;0;0;0;-
0011;0011;BHMCatP0011;b;BHMCat0011V;NICHE-005;NICHE-005b;1;0;1;0;1;0;0;0;0;0;0;0;-
0012;0012;BHMCatP0012;b;BHMCat0012V;NICHE-006;NICHE-006b;1;0;1;0;1;0;0;0;0;0;0;0;-
0013;0013;BHMCatP0013;b;BHMCat0013V;NICHE-007;NICHE-007b;1;0;1;0;1;0;0;0;0;0;0;0;-
0014;0014;BHMCatP0014;b;BHMCat0014V;NICHE-008;NICHE-008b;1;0;1;0;1;0;0;0;0;0;0;0;-
0015;0015;BHMCatP0015;b;BHMCat0015V;NICHE-009;NICHE-009b;1;0;1;0;1;0;0;0;0;0;0;0;-
0016;0016;BHMCatP0016;b;BHMCat0016V;NICHE-010;NICHE-010b;1;0;1;0;1;0;0;0;0;0;0;0;-
0017;0017;BHMCatP0017;b;BHMCat0017V;NICHE-011;NICHE-011b;1;0;1;0;1;0;0;0;0;0;0;0;-
0018;0018;BHMCatP0018;b;BHMCat0018V;NICHE-012;NICHE-012b;1;0;1;0;1;0;0;0;0;0;0;0;-
0019;0019;BHMCatP0019;c;BHMCat0005D;Kepler-47;Kepler-47c;1;0;1;0;1;0;0;0;0;0;0;0;-
