No;Nostr;Type;BHMCat;SourceCat;SourceID;SysID;RA;DEC;Pbin;abin;ebin;wbin;Z;Fe/H;FeHerr;ibin;taumin;taumax;vsini1;vsin1err;vsini2;vsini2err;Prot1;Prot1err;Prot2;Prot2err;V;BV;M1;M1err;M2;M2err;q;R1;R1err;R2;R2err;T1;T1err;T2;T2err;logg1;logg1err;logg2;logg2err;S-type1;S-type2;Lx;Planets;SysADS
0001;0001;D;BHMCat0001D;KIC;16;Kepler-16 ;19 16 18.17;+51 45 26.78;41,079;0,2243000;0,1594;-1,0000;0;-0,3;0,2;90,3401;2;4;0,92;0,025;-1;-1;35,1;1;-1;-1;11,76;0,012;0,690;0,004;0,203;0,001;0,294;0,649;0,001;0,226;0,001;4337;80;-1;-1;4,6527;0,0017;5,0358;0,0016;K type;M type;-1;"BHMCatP0001;";"2011Sci...333.1602D;2011ApJ...741L...1W "
0002;0002;D;BHMCat0002D;KIC;34;Kepler-34;19 45 44.597;+44 38 29.62;27,796;0,2288000;0,5209;-1,0000;0;-0,02;-1;89,8584;2;2,9;3,5;0,5;-1;-1;16,5;1,5;-1;-1;14,87;0,630;1,048;0,003;1,021;0,002;0,974;1,162;0,003;1,093;0,003;5913;130;5867;130;-1;-1;-1;-1;G0V;G0V;-1;"BHMCatP0002;";"2012Natur.481..475W;2012yCatp038048101W"
0003;0003;D;BHMCat0003D;KIC;35;Kepler-35;19 37 59.275;+46 41 23.14;20,734;0,1762000;0,1421;-1,0000;0;-0,13;-1;90,4238;8;12;-1;-1;-1;-1;20,8;0,1;-1;-1;15,96;0,660;0,888;0,005;0,809;0,004;0,911;1,028;0,002;0,786;0,002;5606;150;5202;100;-1;-1;-1;-1;G type;G type;-1;"BHMCatP0003;";"2012Natur.481..475W;2012yCatp038048101W"
0004;0004;D;BHMCat0004D;KIC;38;Kepler-38;19 07 19.29;+42 16 45.14;18,795;0,1469000;0,1032;-1,0000;0;-0,11;-1;89,412;7;13;2,4;0,5;-1;-1;-1;-1;-1;-1;13,94;0,096;0,949;0,055;0,249;0,007;0,262;1,757;0,003;0,272;0,005;5623;50;3325;-1;3,926;0,011;4,964;-1;G type;M type;-1;"BHMCatP0004;";2012ApJ...758...87O
0005;0005;D;BHMCat0005D;KIC;47;Kepler-47;19 41 11.50;+46 55 13.68;7,448;0,0836000;0,0234;-1,0000;0;-0,25;-1;89,69;-1;-1;4,1;0,5;-1;-1;7,775;0,022;-1;-1;15,18;0,126;1,043;0,055;0,362;0,013;0,347;0,964;0,017;0,350;0,006;5636;100;3357;100;4,42;0,1;-1;-1;-;-;-1;"BHMCatP0005;BHMCatP006;";2012Sci...337.1511O
0006;0006;D;BHMCat0006D;KIC;64;Kepler-64;19 52 51.624;+39 57 18,36;20,000;0,1744000;0,2117;-1,0000;0;-0,15;-1;87,36;2,3;6,2;32,6;2;-1;-1;-1;-1;-1;-1;-1,00;-1,000;1,528;0,087;0,378;0,023;0,247;1,734;0,044;0,408;0,024;6407;150;3561;150;4,14;-1;-1;-1;F type;M type;-1;"BHMCatP0007;";"2013ApJ...768..127S;2013ApJ...770...52K"
0007;0007;D;BHMCat0007D;KIC;413;Kepler-413;19 14 02.55;+51 09 44.89;10,116;0,1015000;0,0372;-1,0000;0;-0,2;-1;87,33;-1;-1;5;2;-1;-1;13,15;0,15;-1;-1;15,52;0,073;0,820;0,015;0,542;0,008;0,661;0,776;0,008;0,484;0,020;4700;-1;3460;-1;4,67;-1;-1;-1;K type;M type;-1;"BHMCatP0008;";2014ApJ...784...14K
0008;0008;D;BHMCat0008D;KIC;9632895;KIC-9632895;18 52 57.912;+46 22 42.49;27,322037;0,1874900;0,05099;262,8600;0;-0,34;-1;-1;1;2,5;1,9;1;-1;-1;20,31;0,47;-1;-1;13,552;-1;0,934;0,01;0,1938;0,002;0,207;0,833;0,011;0,2143;0,0014;5527;100;3309;100;4,556;0,015;5,063;0,005;-;-;-1;"BHMCatP0009;";2014arXiv1409.1605W
0009;0009;V;BHMCat0009V;NICHE;1;NICHE-001;-2;-2;15;0,1190330;0,1;-1,0000;0,0152;0;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;0;1;0;1,000;-2;0;-2;0;-2;-2;-2;-2;-2;-2;-2;-2;-;-;-2;-;-
0010;0010;V;BHMCat0010V;NICHE;2;NICHE-002;-2;-2;20;0,1365944;0,5;-1,0000;0,0152;0;-1;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;0;0,85;0;0,850;-2;0;-2;0;-2;-2;-2;-2;-2;-2;-2;-2;-;-;-2;-;-
