# MC = 0.0
# t (Gyr) =  1.0000
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   10.00    0.031    1.412    0.392     37.4    1.42E+23
   12.92    0.041    1.292    0.605     41.2    1.76E+23
   16.68    0.052    1.229    0.862     46.5    2.57E+23
   21.54    0.068    1.184    1.198     53.1    4.08E+23
   27.83    0.088    1.148    1.647     60.3    6.37E+23
   35.94    0.113    1.118    2.242     67.8    9.62E+23
   46.42    0.146    1.095    3.018     75.6    1.43E+24
   59.95    0.189    1.080    4.011     83.4    2.06E+24
   77.43    0.244    1.086    5.118     87.8    2.55E+24
  100.00    0.315    1.103    6.410     95.4    3.69E+24
  129.15    0.406    1.118    8.066    104.8    5.50E+24
  166.81    0.525    1.126   10.256    116.1    8.41E+24
  215.44    0.678    1.130   13.168    129.8    1.32E+25
  278.26    0.875    1.129   17.041    145.6    2.09E+25
  317.89    1.000    1.128   19.498    154.5    2.64E+25
  359.38    1.131    1.127   22.059    163.1    3.29E+25
  464.16    1.460    1.127   28.495    182.3    5.12E+25
  599.48    1.886    1.127   36.827    203.4    7.95E+25
  774.26    2.436    1.130   47.316    223.2    1.16E+26
 1000.00    3.146    1.136   60.495    249.6    1.83E+26
 1291.55    4.063    1.137   77.944    282.6    3.01E+26
 1668.10    5.247    1.132  101.510    325.3    5.24E+26
 2154.43    6.777    1.121  133.798    375.5    9.13E+26
 2782.56    8.753    1.103  178.540    433.6    1.57E+27
 3593.81   11.305    1.079  240.879    502.7    2.72E+27
# ----------------------------------------------------------

# MC = 10.0
# t (Gyr) =  1.0000
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   12.92    0.041    0.491    4.174     51.4    6.14E+22
   16.68    0.052    0.646    3.123     57.2    1.62E+23
   21.54    0.068    0.750    2.991     62.2    3.07E+23
   27.83    0.088    0.823    3.207     67.8    5.22E+23
   35.94    0.113    0.876    3.658     73.9    8.33E+23
