# Fortney, Marley and Barnes (2007), Astrophysical Journal v. 659, 1661-1672


# Models without heavy elements cores at 1.000 AU from the Sun.


# NOTE: -Me   ---> Mass in Mearth
#       -Mj   ---> Mass in Mjupiter
#       -Rj   ---> Radius in Rjupiter
#       -g    ---> Surface gravity in m/s^2
#       -Tint ---> Internal temperature in K
#       -L    ---> Internal luminosity in erg/s


# t (Gyr) =  0.0010
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   21.54    0.068    5.129    0.064     97.2    8.67E+25
   27.83    0.088    4.569    0.104    133.4    2.41E+26
   35.94    0.113    3.891    0.186    189.7    7.14E+26
   46.42    0.146    3.054    0.389    275.6    1.96E+27
   59.95    0.189    2.650    0.667    316.6    2.58E+27
   77.43    0.244    2.479    0.983    364.2    3.94E+27
  100.00    0.315    2.322    1.448    421.6    6.20E+27
  129.15    0.406    2.094    2.301    502.0    1.02E+28
  166.81    0.525    1.844    3.828    618.8    1.82E+28
  215.44    0.678    1.715    5.719    701.0    2.61E+28
  278.26    0.875    1.668    7.808    813.7    4.46E+28
  317.89    1.000    1.659    9.010    877.2    5.97E+28
  359.38    1.131    1.659   10.193    938.1    7.79E+28
  464.16    1.460    1.674   12.922   1075.5    1.37E+29
  599.48    1.886    1.709   16.013   1222.2    2.38E+29
  774.26    2.436    1.763   19.425   1378.4    4.09E+29
 1000.00    3.146    1.834   23.201   1538.1    6.85E+29
 1291.55    4.063    1.910   27.613   1700.5    1.11E+30
 1668.10    5.247    1.983   33.098   1874.5    1.77E+30
 2154.43    6.777    2.041   40.356   2054.7    2.71E+30
 2782.56    8.753    2.098   49.336   2179.5    3.62E+30
 3593.81   11.305    2.163   59.922   2321.6    4.96E+30
# ----------------------------------------------------------


# t (Gyr) =  0.0032
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   16.68    0.052    4.423    0.067     68.3    1.56E+25
   21.54    0.068    4.258    0.093     92.7    4.89E+25
   27.83    0.088    3.515    0.176    129.4    1.27E+26
   35.94    0.113    2.642    0.402    191.6    3.45E+26
   46.42    0.146    2.231    0.728    223.6    4.54E+26
   59.95    0.189    2.068    1.095    265.4    7.76E+26
   77.43    0.244    1.971    1.556    310.0    1.31E+27
  100.00    0.315    1.872    2.227    363.4    2.23E+27
  129.15    0.406    1.735    3.346    432.1    3.83E+27
  166.81    0.525    1.606    5.043    489.3    5.39E+27
  215.44    0.678    1.544    7.055    557.6    8.40E+27
  278.26    0.875    1.511    9.507    632.1    1.33E+28
  317.89    1.000    1.502   10.992    672.3    1.68E+28
  359.38    1.131    1.497   12.510    711.5    2.10E+28
  464.16    1.460    1.494   16.217    808.8    3.49E+28
  599.48    1.886    1.499   20.820    933.7    6.24E+28
  774.26    2.436    1.512   26.405   1074.9    1.11E+29
 1000.00    3.146    1.535   33.101   1234.6    2.00E+29
 1291.55    4.063    1.565   41.120   1408.8    3.52E+29
 1668.10    5.247    1.617   49.788   1549.2    5.48E+29
 2154.43    6.777    1.685   59.232   1700.7    8.66E+29
 2782.56    8.753    1.758   70.251   1852.1    1.33E+30
 3593.81   11.305    1.835   83.273   2016.4    2.03E+30
# ----------------------------------------------------------


# t (Gyr) =  0.0100
