# Fortney, Marley and Barnes (2007), Astrophysical Journal v. 659, 1661-1672


# Models with 25 Earth mass heavy elements cores at 1.000 AU from the Sun.


# NOTE: -Me   ---> Mass in Mearth
#       -Mj   ---> Mass in Mjupiter
#       -Rj   ---> Radius in Rjupiter
#       -g    ---> Surface gravity in m/s^2
#       -Tint ---> Internal temperature in K
#       -L    ---> Internal luminosity in erg/s


# t (Gyr) =  0.0010
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   27.83    0.088    0.606    5.909    325.5    1.51E+26
   35.94    0.113    1.093    2.347    360.4    7.36E+26
   46.42    0.146    1.390    1.875    384.6    1.55E+27
   59.95    0.189    1.563    1.917    419.0    2.75E+27
   77.43    0.244    1.639    2.249    465.0    4.58E+27
  100.00    0.315    1.636    2.917    526.2    7.48E+27
  129.15    0.406    1.587    4.002    603.3    1.22E+28
  166.81    0.525    1.554    5.389    653.9    1.62E+28
  215.44    0.678    1.544    7.047    740.1    2.61E+28
  278.26    0.875    1.554    8.996    849.7    4.60E+28
  317.89    1.000    1.565   10.129    910.9    6.15E+28
  359.38    1.131    1.576   11.284    971.1    8.06E+28
  464.16    1.460    1.612   13.936   1106.9    1.42E+29
  599.48    1.886    1.664   16.883   1249.5    2.46E+29
  774.26    2.436    1.729   20.199   1403.3    4.23E+29
 1000.00    3.146    1.807   23.902   1558.7    7.03E+29
 1291.55    4.063    1.888   28.266   1717.3    1.13E+30
 1668.10    5.247    1.964   33.761   1889.3    1.79E+30
 2154.43    6.777    2.024   41.028   2064.3    2.71E+30
 2782.56    8.753    2.086   49.923   2186.0    3.62E+30
 3593.81   11.305    2.153   60.499   2327.6    4.96E+30
# ----------------------------------------------------------


# t (Gyr) =  0.0032
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   27.83    0.088    0.547    7.245    242.0    3.76E+25
   35.94    0.113    0.906    3.418    296.3    2.31E+26
   46.42    0.146    1.143    2.773    316.7    4.79E+26
   59.95    0.189    1.284    2.837    345.4    8.56E+26
   77.43    0.244    1.357    3.282    384.3    1.47E+27
  100.00    0.315    1.376    4.122    431.6    2.40E+27
  129.15    0.406    1.386    5.243    469.0    3.39E+27
  166.81    0.525    1.394    6.699    524.2    5.36E+27
  215.44    0.678    1.401    8.564    587.7    8.56E+27
  278.26    0.875    1.410   10.919    656.8    1.35E+28
  317.89    1.000    1.417   12.352    695.4    1.71E+28
  359.38    1.131    1.422   13.861    734.8    2.15E+28
  464.16    1.460    1.435   17.575    833.0    3.62E+28
  599.48    1.886    1.455   22.086    956.4    6.47E+28
  774.26    2.436    1.478   27.636   1096.8    1.15E+29
 1000.00    3.146    1.509   34.274   1255.1    2.06E+29
 1291.55    4.063    1.546   42.146   1418.3    3.53E+29
 1668.10    5.247    1.603   50.667   1560.0    5.55E+29
 2154.43    6.777    1.674   60.019   1708.7    8.71E+29
 2782.56    8.753    1.749   70.995   1859.0    1.33E+30
 3593.81   11.305    1.827   83.979   2023.1    2.04E+30
# ----------------------------------------------------------


# t (Gyr) =  0.0100
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   27.83    0.088    0.508    8.419    178.0    9.46E+24
   35.94    0.113    0.784    4.567    223.0    5.55E+25
   46.42    0.146    0.971    3.839    252.2    1.39E+26
   59.95    0.189    1.090    3.939    279.2    2.64E+26
   77.43    0.244    1.164    4.460    302.7    4.15E+26
  100.00    0.315    1.216    5.277    329.6    6.38E+26
  129.15    0.406    1.254    6.411    361.9    9.81E+26
  166.81    0.525    1.275    8.007    400.2    1.52E+27
  215.44    0.678    1.287   10.146    444.9    2.37E+27
  278.26    0.875    1.296   12.917    501.8    3.90E+27
  317.89    1.000    1.302   14.623    534.8    5.07E+27
  359.38    1.131    1.306   16.427    567.2    6.45E+27
  464.16    1.460    1.316   20.898    640.9    1.07E+28
  599.48    1.886    1.326   26.596    725.7    1.78E+28
  774.26    2.436    1.331   34.081    827.5    3.03E+28
 1000.00    3.146    1.340   43.470    927.6    4.85E+28
 1291.55    4.063    1.369   53.774   1035.2    7.85E+28
 1668.10    5.247    1.405   65.943   1171.3    1.36E+29
 2154.43    6.777    1.445   80.437   1322.8    2.33E+29
 2782.56    8.753    1.490   97.727   1499.8    4.10E+29
 3593.81   11.305    1.542  117.978   1696.7    7.18E+29
# ----------------------------------------------------------


# t (Gyr) =  0.0316
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   27.83    0.088    0.477    9.542    136.5    2.88E+24
   35.94    0.113    0.716    5.465    162.4    1.31E+25
   46.42    0.146    0.868    4.802    182.8    3.09E+25
   59.95    0.189    0.975    4.922    202.1    5.81E+25
   77.43    0.244    1.052    5.459    221.5    9.75E+25
  100.00    0.315    1.108    6.352    243.2    1.57E+26
  129.15    0.406    1.152    7.597    269.2    2.55E+26
  166.81    0.525    1.180    9.354    302.5    4.26E+26
  215.44    0.678    1.199   11.697    340.5    7.05E+26
  278.26    0.875    1.213   14.763    381.3    1.13E+27
  317.89    1.000    1.220   16.665    403.9    1.45E+27
  359.38    1.131    1.224   18.699    425.3    1.79E+27
  464.16    1.460    1.234   23.769    473.1    2.78E+27
  599.48    1.886    1.243   30.291    526.7    4.34E+27
  774.26    2.436    1.244   39.015    589.5    6.82E+27
 1000.00    3.146    1.255   49.523    641.3    9.72E+27
 1291.55    4.063    1.272   62.284    733.4    1.71E+28
 1668.10    5.247    1.288   78.397    849.5    3.16E+28
 2154.43    6.777    1.305   98.715    982.9    5.79E+28
 2782.56    8.753    1.321  124.368   1139.5    1.07E+29
 3593.81   11.305    1.339  156.493   1322.8    2.00E+29
# ----------------------------------------------------------


# t (Gyr) =  0.1000
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   27.83    0.088    0.452   10.618    101.8    8.00E+23
   35.94    0.113    0.665    6.347    124.9    3.93E+24
   46.42    0.146    0.804    5.603    138.4    8.66E+24
   59.95    0.189    0.904    5.717    150.4    1.53E+25
   77.43    0.244    0.979    6.297    162.7    2.46E+25
  100.00    0.315    1.035    7.282    178.5    3.99E+25
  129.15    0.406    1.079    8.658    198.5    6.61E+25
  166.81    0.525    1.110   10.569    222.0    1.09E+26
  215.44    0.678    1.132   13.105    248.6    1.79E+26
  278.26    0.875    1.149   16.443    277.3    2.85E+26
  317.89    1.000    1.157   18.538    292.7    3.58E+26
  359.38    1.131    1.162   20.767    308.5    4.47E+26
  464.16    1.460    1.172   26.357    342.9    6.92E+26
  599.48    1.886    1.181   33.531    382.6    1.09E+27
  774.26    2.436    1.185   42.991    421.7    1.63E+27
 1000.00    3.146    1.198   54.364    473.7    2.64E+27
 1291.55    4.063    1.210   68.823    539.2    4.52E+27
 1668.10    5.247    1.217   87.871    614.2    7.70E+27
 2154.43    6.777    1.219  113.184    701.7    1.32E+28
 2782.56    8.753    1.215  147.162    824.7    2.49E+28
 3593.81   11.305    1.208  192.136    979.2    4.89E+28
# ----------------------------------------------------------


# t (Gyr) =  0.3162
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   27.83    0.088    0.432   11.636     75.3    2.18E+23
   35.94    0.113    0.624    7.212     93.9    1.11E+24
   46.42    0.146    0.751    6.412    103.5    2.36E+24
   59.95    0.189    0.847    6.526    113.6    4.36E+24
   77.43    0.244    0.920    7.132    124.5    7.43E+24
  100.00    0.315    0.978    8.162    136.3    1.21E+25
  129.15    0.406    1.024    9.608    149.2    1.89E+25
  166.81    0.525    1.058   11.635    164.0    2.96E+25
  215.44    0.678    1.082   14.345    181.3    4.63E+25
  278.26    0.875    1.100   17.929    201.6    7.29E+25
  317.89    1.000    1.109   20.177    213.6    9.36E+25
  359.38    1.131    1.114   22.587    225.3    1.17E+26
  464.16    1.460    1.125   28.626    252.2    1.87E+26
  599.48    1.886    1.134   36.397    282.4    2.99E+26
  774.26    2.436    1.141   46.367    310.4    4.40E+26
 1000.00    3.146    1.154   58.608    348.4    7.16E+26
 1291.55    4.063    1.162   74.587    391.5    1.16E+27
 1668.10    5.247    1.163   96.192    443.6    1.92E+27
 2154.43    6.777    1.157  125.534    514.9    3.44E+27
 2782.56    8.753    1.145  165.656    603.7    6.35E+27
 3593.81   11.305    1.127  220.736    710.6    1.18E+28
# ----------------------------------------------------------


# t (Gyr) =  1.0000
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   27.83    0.088    0.416   12.552     55.7    6.08E+22
   35.94    0.113    0.590    8.045     69.7    3.00E+23
   46.42    0.146    0.709    7.211     78.2    6.86E+23
   59.95    0.189    0.799    7.322     85.7    1.26E+24
   77.43    0.244    0.871    7.958     93.2    2.08E+24
  100.00    0.315    0.929    9.042    101.4    3.34E+24
  129.15    0.406    0.977   10.563    110.6    5.22E+24
  166.81    0.525    1.012   12.695    121.7    8.21E+24
  215.44    0.678    1.040   15.543    134.9    1.31E+25
  278.26    0.875    1.060   19.311    149.9    2.07E+25
  317.89    1.000    1.069   21.690    158.3    2.61E+25
  359.38    1.131    1.075   24.238    166.5    3.25E+25
  464.16    1.460    1.087   30.646    185.2    5.08E+25
  599.48    1.886    1.096   38.927    205.9    7.90E+25
  774.26    2.436    1.107   49.319    225.5    1.16E+26
 1000.00    3.146    1.117   62.509    251.9    1.84E+26
 1291.55    4.063    1.123   79.941    285.0    3.04E+26
 1668.10    5.247    1.121  103.633    327.5    5.27E+26
 2154.43    6.777    1.112  135.978    377.5    9.17E+26
 2782.56    8.753    1.096  180.848    435.5    1.57E+27
 3593.81   11.305    1.073  243.448    504.5    2.72E+27
# ----------------------------------------------------------


# t (Gyr) =  3.1623
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   27.83    0.088    0.403   13.363     40.6    1.62E+22
   35.94    0.113    0.564    8.799     51.9    8.45E+22
   46.42    0.146    0.675    7.944     58.1    1.89E+23
   59.95    0.189    0.761    8.076     63.4    3.41E+23
   77.43    0.244    0.830    8.760     68.9    5.66E+23
  100.00    0.315    0.887    9.914     75.2    9.20E+23
  129.15    0.406    0.935   11.516     82.4    1.47E+24
  166.81    0.525    0.973   13.741     90.5    2.31E+24
  215.44    0.678    1.003   16.705     99.6    3.61E+24
  278.26    0.875    1.026   20.636    110.1    5.63E+24
  317.89    1.000    1.035   23.128    115.9    7.04E+24
  359.38    1.131    1.042   25.801    121.7    8.69E+24
  464.16    1.460    1.055   32.544    134.7    1.34E+25
  599.48    1.886    1.065   41.235    148.1    1.99E+25
  774.26    2.436    1.077   52.070    163.0    2.98E+25
 1000.00    3.146    1.086   66.098    184.1    4.96E+25
 1291.55    4.063    1.091   84.702    209.2    8.33E+25
 1668.10    5.247    1.087  110.130    238.3    1.39E+26
 2154.43    6.777    1.076  145.106    272.3    2.32E+26
 2782.56    8.753    1.058  193.875    313.3    3.93E+26
 3593.81   11.305    1.034  262.131    364.0    6.84E+26
# ----------------------------------------------------------


# t (Gyr) = 10.0000
# ----------------------------------------------------------
#       Me       Mj       Rj        g     Tint           L
# ----------------------------------------------------------
   27.83    0.088    0.393   14.069     29.3    4.13E+21
   35.94    0.113    0.544    9.469     38.1    2.27E+22
   46.42    0.146    0.649    8.601     42.6    5.05E+22
   59.95    0.189    0.731    8.754     46.7    9.27E+22
   77.43    0.244    0.798    9.483     51.0    1.57E+23
  100.00    0.315    0.854   10.702     55.6    2.54E+23
  129.15    0.406    0.902   12.382     60.6    4.00E+23
  166.81    0.525    0.941   14.705     66.2    6.19E+23
  215.44    0.678    0.972   17.789     72.6    9.56E+23
  278.26    0.875    0.996   21.881     79.9    1.48E+24
  317.89    1.000    1.007   24.476     84.1    1.85E+24
  359.38    1.131    1.014   27.268     88.2    2.27E+24
  464.16    1.460    1.027   34.314     97.4    3.47E+24
  599.48    1.886    1.039   43.296    106.7    5.12E+24
  774.26    2.436    1.052   54.623    119.6    8.24E+24
 1000.00    3.146    1.060   69.374    134.6    1.35E+25
 1291.55    4.063    1.064   89.018    152.0    2.20E+25
 1668.10    5.247    1.059  115.974    172.5    3.63E+25
 2154.43    6.777    1.048  153.152    197.3    6.06E+25
 2782.56    8.753    1.029  204.959    227.6    1.03E+26
 3593.81   11.305    1.005  277.410    263.6    1.78E+26
# ----------------------------------------------------------
