
1-01-2015-16:46:57**0akmto2h5ssn94ih697uf16uj3**127.0.0.1**/BHMcalc/**/BHMcalc/index.php**Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.101 Safari/537.36**browse
1-01-2015-16:46:58**0akmto2h5ssn94ih697uf16uj3**127.0.0.1**/BHMcalc/BHMcat.php**/BHMcalc/BHMcat.php**Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.101 Safari/537.36**catalogue 0 No 0
1-01-2015-16:47:7**0akmto2h5ssn94ih697uf16uj3**127.0.0.1**/BHMcalc//**/BHMcalc//index.php**Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.101 Safari/537.36**browse
1-01-2015-16:47:8**0akmto2h5ssn94ih697uf16uj3**127.0.0.1**/BHMcalc//**/BHMcalc//index.php**Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.101 Safari/537.36**browse
1-01-2015-16:47:9**0akmto2h5ssn94ih697uf16uj3**127.0.0.1**/BHMcalc//BHMsummary.php**/BHMcalc//BHMsummary.php**Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.101 Safari/537.36**summary Interactions
1-01-2015-16:47:39**0akmto2h5ssn94ih697uf16uj3**127.0.0.1**/BHMcalc/**/BHMcalc/index.php**Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.101 Safari/537.36**browse
1-01-2015-16:47:39**0akmto2h5ssn94ih697uf16uj3**127.0.0.1**/BHMcalc/BHMcat.php**/BHMcalc/BHMcat.php**Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.101 Safari/537.36**catalogue 0 No 0
1-01-2015-16:47:50**0akmto2h5ssn94ih697uf16uj3**127.0.0.1**/BHMcalc//**/BHMcalc//index.php**Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.101 Safari/537.36**browse
1-01-2015-16:47:50**0akmto2h5ssn94ih697uf16uj3**127.0.0.1**/BHMcalc//BHMsummary.php**/BHMcalc//BHMsummary.php**Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.101 Safari/537.36**summary Interactions
1-01-2015-16:48:3**0akmto2h5ssn94ih697uf16uj3**127.0.0.1**/BHMcalc//BHMrun.php**/BHMcalc//BHMrun.php**Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.101 Safari/537.36**run star 0 0
1-01-2015-16:48:24**0akmto2h5ssn94ih697uf16uj3**127.0.0.1**/BHMcalc//BHMrun.php**/BHMcalc//BHMrun.php**Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.101 Safari/537.36**run star 0 1
1-01-2015-16:48:42**0akmto2h5ssn94ih697uf16uj3**127.0.0.1**/BHMcalc//BHMutil.php**/BHMcalc//BHMutil.php**Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.101 Safari/537.36**util BugReport Star1:Star2:Planet:Binary:Habitability:Interactions
